title,content,detail,category
1층 시설,1층에는 매표소·안내데스크, AI놀이터/생각놀이터/행동놀이터, 천체투영관·과학극장, 어린이교실, 수유실·유아휴게실, 의무실, 물품보관함(락커), 유모차·휠체어 대여, 꿈트리 동산(창경궁 방향)이 있어요.,1층,층별안내
2층 시설,2층에는 빛놀이터/탐구놀이터/관찰놀이터, 창작교실, 휴게실(영유아놀이터 포함), 물품보관함이 있어요.,2층,층별안내
3층 시설,3층 옥상에는 하늘마당이 있어요.,3층 옥상,층별안내
입구,입구는 2층 게이트예요.,2층 게이트,층별안내
출구,출구는 1층 게이트예요.,1층 게이트,층별안내
관찰놀이터 위치,관찰놀이터는 2층에 있어요.,2층,층별안내
탐구놀이터 위치,탐구놀이터는 2층에 있어요.,2층,층별안내
빛놀이터 위치,빛놀이터는 2층에 있어요.,2층,층별안내
AI놀이터 위치,AI놀이터는 1층에 있어요.,1층,층별안내
생각놀이터 위치,생각놀이터는 1층에 있어요.,1층,층별안내
행동놀이터 위치,행동놀이터는 1층에 있어요.,1층,층별안내
