ID,분류,전시형태,작동방식,제목,내용,영문 내용,세부 설명,영문 세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
생각-1,"브레인 헬스 클럽
Brain Health Club",체험,작동형,"브레인 헬스 클럽
Brain Health Club","운동과 뇌
유산소운동 + 두뇌 활동 = 뇌 기능 향상!
운동을 하면서 동시에 문제를 풀면 뇌가 더욱 활발하게 활동해요!
몸을 움직이면 혈류가 증가하게 되고, 뇌로 많은 산소와 영양분이 공급됩니다.
그 결과 해마가 있는 내측두엽의 부피가 점점 커지고, 집중력 과 기억력이 향상될 수 있어요!
지금 바로 몸과 뇌를 함께 움직이며 숨겨진 뇌 능력을 키워 볼까요?","(Exercise & the Brain)
Cardio + Brain Activity = Better Brain Power!
When you exercise and solve problems at the same time, your brain becomes more active
Moving your body increases blood flow, delivering mare oxygen and nutrients to your brain.
As a result, areas like the hippocampus can grow, helping improve your focus and memory.
Ready to move your body and boost your brain? Let's get started!","매달리지 마세요
아이들이 다칠 수 있습니다.
뛰거나, 밀거나, 밀치지 마세요.
사람에게 공을 던지지 마세요.
순서대로 질서있게 체험해주세요.
보호자께서는 아이들을 지켜봐주세요.
다치지 않도록 조심해주세요!","DON'T HANG ON
Children could get hurt.
No RUNNING, PUSHING or SHOVING.
Do not THROW the ball at people.
Please play it in an ORDERLY FASHION.
ADULT SUPERVISION REQUIRED FOR USE.
PLAY CAREFULLY!","화면에 공을 던지는 체험입니다. 몸을 움직이며 뇌를 자극해 보아요! 체험 후 공을 제자리에 놓아주세요!
많은 친구들이 이용할 수 있도록 1회 이용 후 다음 친구에게 양보해 주세요.",정상,없음,,
생각-2,,패널,텍스트,"운동의 효과! 
운동하는 뇌
Effects of Exercise!
The Active Brain","운동의 효과!
1.운동을 해요
2.심장이 더 힘차게 뛰어요
3.뇌로 피와 산소가 많이 가요
4.뇌가 활발해져요
5.생각? 기억? 집중력이 좋아져요!


운동하는 뇌
우리가 운동을 하는 동안 뇌도 함께 운동을 하고 있어요.
몸을 움직일 수 있는 이유는 뇌가 근육에 쉬지 않고 신호를 보내기 때문이에요.
이 과정에서 뇌의 신경 회로가 계속 활성화되고 뇌가 발달할 수 있어요.
그렇다면 어떤 운동이 뇌의 어떤 부분을 자극하는지 함께 알아볼까요?","Effects of Exercise!
1.Exercise
2.Heart beats faster
3.More oxygen to the brain
4.Brain gets active
5.Thinking, memory, and focus improve!

The Active Brain
While you exercise, your brain is working too.
You can move your body because your brain constantly sends signals to your muscles. This keeps your neural pathways active and helps your brain grow.
So, which exercises stimulate which parts of the brain?
Let's find out together!","전두엽
-요가, 명상, 감정 조절력, 스트레스 대처

두정엽 
-댄스, 체조 
-공간감각, 신체 조정 능력

전전두엽
- 근력 운동, 축구, 농구 등 팀 스포츠
- 문제 해결력, 집중력 

해마
- 유산소 운동
- 기억력, 학습 능력

소뇌
- 탁구, 테니스 등 정교한 스포츠
- 운동 협응력, 균형 감각","Frontal Lobe
- Yoga, Imagination
- Emotional control, Stress management

Parietal Lobe
- Dencing, gymnastics
- Spatial awareness, body control

Prefrontal Cortex
- Strength training, Team sports (soccer, basketball, etc.)
- Problem-solving, focus

Hippocampus
- Aerobic exercise, Memory
- learning ability

Cerebellum
- Sports like table tennis and tennis
- Motor skills
- Balance",,,,,
생각-5,"브레인 헬스마켓
Brain Health Market",패널,텍스트,"브레인 헬스마켓
Brain Health Market","뇌와 음식
뇌는 우리 전체에너지 20% 이상을사용하는 기관입니다.
따라서 꾸준하고 안정적인 에너지공급이 매우 중요합니다.

뇌는 포도당을 주요 에너지원으로 사용합니다.
우리가 섭취한 탄수화물은 소화 과정을 거쳐 포도당으로 전환되어 뇌 활동을 지원합니다. 또한 지방산은 신경세포막을 구성하고, 단백질은 신경전달물질의 재료가 됩니다. 비타민과 무기질은 기억과 집중력 유지를 돕습니다.
이처럼 음식 속 영양소는 뇌가 제대로 작동하는 데 중요한 역할을 합니다.",,,,,,,,
,,패널,텍스트,"브레인 헬스마켓
Brain Health Market","뇌를 지키는 문지기! '혈뇌장벽'

혈뇌장벽은 뇌로 들어오는 물질을 선택적으로 조절합니다.
마치 뇌를 지키는 문지기처럼 독소나 해로운 물질, 약물이 뇌로 바로 들어오는 것을 막아 뇌를 안전하게 보호합니다.
뇌 활동에 꼭 필요한 포도당, 필수 아미노산, 전해질 등은 선택적으로 통과시킵니다.
하지만 동시에 뇌 질환 치료에 필요한 약물이 뇌로 전달되기 어렵게 만들기도 합니다.
따라서 균형잡힌 식사와 건강한 생활 습관을 통해 뇌 건강을 유지하는 것이 중요하답니다!",,,,,,,,
,,패널,텍스트,"브레인 헬스마켓
Brain Health Market","배와 뇌가 대화해요! '장- 뇌축이론'

음식을 소화시키는 장과 뇌는 떨어져 있는 기관처럼 보이지만, 신경 호르몬?면역신호를 통해 연결되어 있습니다.
장은 많은 뇌와 비슷한 역할을 하는 신경세포가 모여 있는 기관입니다. 또한 신경전달물질을 활발히 만들어내며, 특히 세로토닌(행복 호르몬)의 약 90% 이상이 장에서 생성됩니다.
장 상태의 변화는 다양한 신호 경로를 통해 뇌로 전달되며, 우리 기분에도 영향을 줍니다.
배가 아프면 기분이 나빠지고, 배가 고프면 예민해지며, 식사를 하면 마음이 편안해지는 이유는 바로 우리 배와 뇌가 대화하기 때문입니다.",,,,,,,,
,,패널,텍스트,"브레인 헬스마켓
Brain Health Market","달걀

주요 영양소
콜린, 루테인, 지아잔틴, 비타민 B12

뇌에 좋은 이유
콜린이 신경전달물질(아세틸콜린) 생성에 필수적으로 루테인과 지아잔틴이 인지 처리 능력을 향상해요.

핵심효과
기억력 유지, 노화 지연",,,,,,,,
,,패널,텍스트,"브레인 헬스마켓
Brain Health Market","시금치

주요 영양소
엽산, 비타민 K, A, C, 철분

뇌에 좋은 이유
엽산이 호모시스테인 수치 감소로 뇌 노화가 지연되고 비타민 B군이 뇌 에너지 대사에 필수적이에요.

핵심효과
노화 방지, 인지 기능 유지",,,,,,,,
,,패널,텍스트,"브레인 헬스마켓
Brain Health Market","블루베리

주요 영양소
안토시아닌, 플라보노이드, 비타민 C

뇌에 좋은 이유
강력한 항산화 작용으로 산화 스트레스를 억제하고 뉴런 생성 촉진 및 시냅스 연결을 강화해요.

핵심효과
기억력·인지기능 향상",,,,,,,,
,,패널,텍스트,"브레인 헬스마켓
Brain Health Market","아보카도

주요 영양소
단일불포화지방산, 비타민 E, 엽산 뇌에 좋은 이유

좋은 지방과 엽산이 뇌혈류 개선과 신경세포 성장, 치매 위험 감소에 기여해요.

핵심효과
인지력 향상, 뇌세포 보호",,,,,,,,
,,패널,텍스트,"브레인 헬스마켓
Brain Health Market","브로콜리

주요 영양소
비타민 K,설포라판, 엽산

뇌에 좋은 이유
설포라판 등의 항산화 성분이 뉴런을 보호하고 염증 완화, 뇌세포 손상 억제에 기여합니다.

핵심효과
인지 기능 강화",,,,,,,,
