ID,분류,전시형태,작동방식,제목,내용,영문 내용,세부 설명,영문 세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
탐구-1," 도구
Simple machine",도입부 패널,텍스트," 도구
Simple machine","도구 Simple machine
도구는 우리가 일을 더 쉽게 할 수 있도록 도와주는 물건이에요. 여러 가지 도구 중, 작은 힘으로도 무거운 물체를 움직일 수 있게 하는 도구를 '단순 기계'라고 해요. 다양한 도구를 체험해 보며 힘의 차이를 느껴보아요.","Simple Machine
Tools are things that make our work much easier! Among many tools, the ones that help us move heavy things with just a little bit of strength are called 'simple machines'. Let's try different tools and feel the difference in strength!","사람들은 아주 오래전부터 힘든 일을 쉽게 할 방법을 찾았어요.
약 250만 년 전 돌, 나무, 동물 뼈 등을 이용해 간단한 도구를 만들기 시작했어요.
시간이 지나 단단한 금속을 발견하면서 더 튼튼하고 오래가는 도구를 만들 수 있게 되었답니다.","People have been looking for ways to make hard work easier for a long, long time!
About 2.5 million years ago, they started making simple tools out of stones, wood, and animal bones.
Later, they discovered strong metals and learned how to make even stronger tools that last a long time!",,정상,없음,,
탐구-2,,체험,핸즈온,"도르래
Pulley","바퀴에 줄을 걸어 무거운 물건을 쉽게 들어올리게 하는 도구예요. 힘을 쓰는 방향을 바꾸거나, 힘을 적게 쓰게 해요.
고정도르래, 움직도르래
과일상자가 더 가볍게 느껴지는 도르래는 무엇인가요?","It is a tool with a wheel and a rope that helps you lift heavy things easily! 
It can change the direction you pull or make the load feel lighter.
Fixed Pulley, Movable Pulley
Which pulley makes the fruit box feel lighter?",,,"줄을 살살 놓아주세요.
Please let go of the rope gently!",,,,
탐구-3,,체험,핸즈온,"빗면
Slope",비스듬히 기울어진 면으로 무거운 물건을 밀거나 당겨서 더 쉽게 옮길 수 있게 하는 도구예요. 기울어진 각도가 작을수록 힘은 덜 들지만 더 많이 움직여야 해요.,"It is a slanted surface that helps you push or pull heavy things much more easily. If the slope is gentle, it takes less strength, but you have to push it a longer distance!",상자를 들어보세요!,Lift the box!,,,,,
탐구-4,,체험,패널,"쐐기
Wedge","쇠나 나무를 비스듬하게 깎아 만든 도구예요. 쐐기를 물건의 틈에 넣고 힘을 주면, 물건을 쉽게 들어 올리거나 쪼갤 수 있어요.","It is a tool made by cutting metal or wood at an angle. If you put a wedge into a crack and push, you can easily lift or split things apart!",,,,,,,
,,,핸즈온,,"쐐기와 나사
빗면의 원리를 활용한 쐐기와 나사가 우리 생활에서 어떻게 사용되는지 체험해 보세요","Wedge and Screw
Let's see how wedges and screws, which use the power of slopes, are used in our daily lives!",체험한 도구는 다음 친구를 위해 정리해주세요.,Please put the tools back for the next friend!,,,,,
,,,핸즈온,,칼 속에는 쐐기의 원리가 숨어 있어요. 칼날 각도가 다른 두개의 칼로 과일 모형을 잘라보며 힘의 세기를 비교해 보아요. 힘이 적게 들었던 칼은 어떤 칼인가요?,The secret of the wedge is hidden in a knife! Try cutting the toy fruit with two knives that have different angles and compare how hard you have to push. Which knife was easier to use?,,,,,,,
,,,패널,"나사
Screw", 빗면이 소용돌이처럼 감겨 있는 모양의 도구예요. 수많은 나사의 홈 덕분에 작은 힘으로도 ,"It is a tool that looks like a slope wrapped around like a whirlpool! Thanks to the many grooves on the screw, you can twist it with just a little bit of strength.",,,,,,,
,,,핸즈온,,병뚜껑 속에 나사의 원리가 숨어있어요.. 모양이 다른 세 개의 병뚜껑을 돌려 보면서 어떤 병이 더 쉽게 열리는지 비교해 보아요. 가장 쉽게 열린 병의 나사산 모양은 어땠나요?,The secret of the screw is hidden in a bottle cap! Try twisting three different bottle caps and see which one opens the easiest. What did the screw threads look like on the easiest bottle?,,,"뚜껑은 세게 잡아당기지 마세요.
Please do not pull the bottle cap too hard!",,,,
탐구-5,에너지와 기계 도입부,패널,텍스트,"에너지와 기계
시작과 발전
Energy & Machine
start & development","인류는 불을 발견하면서 처음으로 에너지를 사용하게 되었어요.
시간이 지나면서 사람들은 물, 바람 같은 자연의 힘을 이용해 다양한 일을 했어요.
작고 간단한 도구를 합치고 새로운 에너지를 이용하여 크고 복잡한 기계들을 만들어냈어요.
다양한 기계 덕분에 우리는 편리하게 살아가고 있어요.","People first started using energy when they discovered fire.
As time passed, people used the power of nature, like water and wind, to do many things.
They put small, simple tools together and used new energy to invent big, complex machines!
Thanks to all these amazing machines, our lives are very comfortable today.",,,,,,,
,,패널,텍스트,"에너지와 기계
Energy & Machine","에너지 Energy
에너지란 물체가 일을 할 수 있는 능력을 말해요.
에너지는 여러 가지 모습으로 존재하고, 서로 다른 에너지로 바뀔 수도 있어요. 체험을 통해 에너지의 변화를 확인해 보아요.

기계 Machines
기계는 사람을 대신하여 일을 더 쉽고 빠르게 해주는 물건을 말해요.
다양한 기계 중, 우리가 잘 아는 자동차와 프로펠러를 이용하는 기계에 대해 알아보고 체험해 보아요.","Energy
Energy is the power that makes things work!
Energy comes in many different forms, and it can even change from one form to another. Let's see how energy changes through this activity!

Machines
Machines are things that do the hard work for us, making it easier and faster!
Among many machines, let's learn about and play with cars and machines that use propellers.",,,,,,,
