"2F (관찰놀이터/Discovery Zone) ""관찰, 세상을 보는 눈""",,,,,,,,,,,
ID,분류,전시형태,작동방식,제목,내용,세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
관찰-1,"다이노터널
",체험,"터치 디스플레이
(신체활동)","다이노~
?",,,,정상,없음,,
,,,,누구의 알일까?,,-,,,,,
관찰-2,"??
",,,,,,,,,,
,,,,,,,,,,,
관찰-3,"빛이 부린 마법, 홀로그램
Floating Hologram",체험,"작동형
(신체활동)","빛이 부린 마법, 홀로그램
Muscular Strength",바닥의 모니터에서 나온 영상(빛)이 45도로 기울어진 스크린에 반사되어 입체적으로 보이는 것을 '플로팅 홀로그램'이라고 불러요.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,체험방법,"1. 그리고 싶은 동물을 선택하세요
2. 동물모양 안쪽을 색칠하여 완성하세요.
3. 그림을 스캐너 아래에 놓고 스캔버튼을 누르세요.
4. 테이블 위에 보여지는 동물의 움직임을 관찰해봐요",사용 후 제자리에 두세요.,"그림 종이는 한 장씩 사용해 주세요 
<참고> 배경 색칭은 인식의 어려움이 있습니다",,,,
관찰-4,"도전! 탐조생활
Check your jump power!",패널,텍스트,"겨울철새가 뭐예요?
What are winter birds?","늦가을부터 우리나라를 찾아와 겨울을 보내고 이른 봄에는 북쪽으로 가서 번식하는 새들을 말해요. 겨울 추위를 피하고 먹이를 구하기 위해 원래 살던 곳보다 따뜻한 남쪽인 우리 나라로 오는 거에요.
갈까마귀, 검은목고니, 검은목두루미, 떼까마귀, 말똥가리, 물수리, 큰밀화부리, 항라머리검독수리 등이 겨울철새예요.","망원경으로 겨울철새인 검은목두루미,큰밀화물리, 항라머리검독수리를 관찰할 수 있어요.",,,,,
,,체험,터치 디스플레이,체험방법,관찰하고 싶은 새를 선택하세요,흔들지 말고 화면만 살짝 터치해주세요.,,,,,
관찰-5,,패널,텍스트,"여름철새가 뭐예요?
What are summer birds?","이른 봄이 되면 우리나라에 찾아와 번식을 하고 여름이 지나면 따뜻한 남쪽으로 이동하는 새들을 말해요. 봄에 우리나라로 오는 이유는 둥지를 짓기 좋은 나무가 많고, 먹이가 풍부해서 새끼를 키우기 알맞기 때문이에요.
꾀꼬리, 소쩍새, 중대백로, 파랑새, 호반새 등이 여름철새예요.","망원경으로 여름철새인 꾀꼬리, 소쩍새 텃새인 어치를 관찰할 수 있어요.",,,,,
