ID,분류,전시형태,작동방식,제목,내용,영문 내용,세부 설명,영문 세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
관찰-1,도입,패널,텍스트,"현재는 과거의 열쇠
The present is the key to the past","지구의 나이는 45억살이 넘습니다. 지구의 역사는 매우 길어서, 오래 전에 일어났던 일들은 흔적이 사라지기도 합니다. 그래서 남아 있는 증거들로부터 연구를 시작해야 합니다.
지질학의 아버지로 불리는 찰스 라이엘(Charles Lyell; 1797~1875)은 '현재는 과거의 열쇠'라는 중요한 원칙을 통해 지질학적 현상들을 설명했습니다. 과학자들은 현재 지구에서 일어나고 있는 일들에 근거해서 과거에 일어났던 일들을 추론합니다.
현재 지구에 사는 동물들이 어떻게 행동하는지를 떠올려보면서 공룡들이 어떻게 살았을지 생각해 볼까요?","The Earth is over 4.5 billion years old! Because the Earth's history is so long, traces of things that happened a long, long time ago sometimes disappear. That's why scientists start their research using the clues that are left behind.
Charles Lyell, known as the father of geology, explained how the Earth works using an important rule: ""The present is the key to the past."" Scientists look at what is happening on Earth today to figure out what happened a long time ago.
Let's think about how animals act today, and imagine how dinosaurs might have lived!",,,,,,,
관찰-2,다이노터널,체험,실감형,"다이노 터널
Dino Tunnel","질문을 보고 이야기를 나눠보아요.
누가 육식공룡일까요?
공룡이 왜 다가오고 있을까요?
초식공룡은 어떻게 자기 몸을 지킬 수 있을 까요?","Look at the questions below and talk about them together!
Who is the Carnivorous Dinosaurs?
Why is the dinosaur coming closer?
How can the Herbivorous dinosaurs protect itself?","중생대 백악기 숲 속에서 공룡 두 마리가 마주보고 있어요. 두 공룡은 무엇을 하고 있는 걸까요?

켄트로사우르스 Centrosaurs
""뾰족한 도마뱀""이라는 뜻, 몸 길이가 6m 정도인 케라톱스과의 공룡으로 네 발로 걷는 초식동물이에요.

고르고사우르스 Gorgosaurs
""사나운 도마뱀""이라는 뜻, 몸 길이가 8~9m에 달하는 티라노사우르스과의 공룡으로 두 발로 걷는 육식동물이에요.

공룡은 약 2분 동안 작동하고 약 3분간 휴식합니다.","Two dinosaurs are facing each other in the Cretaceous forest! What do you think they are doing?

Centrosaurus
Its name means ""pointed lizard""! It is a plant-eating dinosaur that walks on four legs and is about 6 meters long.

Gorgosaurus
Its name means ""fierce lizard""! It is a huge meat-eating dinosaur that walks on two legs and is about 8 to 9 meters long.

The dinosaurs will move for about 2 minutes and then take a rest for 3 minutes!",,정상,"없음
제목에도 없는 것 보완 필요",,
관찰-3,누구의 알일까?,체험,작동형,"누구의 알일까?
Whose egg is this?","누구의 알일까? 모형알을 따뜻하게 해서 부화시켜 볼까요?
알을 양손으로 감싸서 따뜻하게 해보세요.
알이 부화하려고 해요! 공룡이 알을 깨고 나올때까지 계속 따뜻하게 감싸주세요.","Whose egg is this? Shall we warm up the model egg and hatch it? Wrap your hands around the egg to keep it warm. Oh, it’s hatching! Keep it warm until the baby dinosaur breaks out of its shell!","다이노터널 기준 좌측 1개, 우측 1개 (총 2개)
올라가면 전시물이 망가져요.","1 on the left, 1 on the right of the Dino Tunnel (2 in total)",,,없음,,
관찰-4,"공룡도 새처럼 새끼를 돌보나요?
Do dinosaurs take care of their babies like bifrds?",패널,텍스트,"공룡도 새처럼 새끼를 돌보나요?
Did dinosaurs take care of their babies like birds do?","공룡도 새처럼 둥지를 만들어 알을 낳았어요. 땅에 구덩이를 파고 알은 낳은 후 식물이나 흙으로 덮거나 둥지를 품어 따뜻하게 만들어 알을 보호했어요. 어떤 공룡들은 함께 지키기 위해 모여서 둥지를 만들었다고 합니다. 알을 깨고 나오면 새끼가 튼튼하게 자랄 때까지 어미가 둥지에서 보살피기도 했다고 해요.
좋은 엄마 도마뱀이라는 뜻의 마이아사우라는 매 년 같은 곳에서 둥지를 틀고 알을 낳았어요. 따뜻한 퇴비층에 알을 낳아 품고, 작고 약한 새끼가 다 커서 둥지를 떠날 때까지 먹이를 먹여 키웠다고 해요.","Dinosaurs made nests and laid eggs just like birds! They dug holes in the ground, laid their eggs, and covered them with plants or dirt to keep them warm and safe. Some dinosaurs even made nests together to protect each other. When the babies hatched, some mommies took care of them in the nest until they grew strong.
Maiasaura, which means 'good mother lizard,' made her nest in the same place every year. She laid her eggs in a warm bed of leaves and fed her tiny babies until they were big enough to leave the nest!",(사진) 새끼를 돌보는 마이아사우라,Maiasaura taking care of her babies,,"패널 내용 수정 필요
알은 → 알을
마이아사우라 → ""마이아사우라""",,,
관찰-5,"공룡도 알을 낳나요?
Do dinosaurs lay eggs, too?",패널,텍스트,"공룡도 알을 낳나요?
Did dinosaurs lay eggs?","공룡도 새처럼 알을 낳았어요. 공룡의 알과 둥지의 모양은 육식 공룡이나 초식 공룡이냐에 따라 달라요. 육식 공룡의 알은 길쭉한 타원형으로 동그랗게 원형으로 배열되어 있어요. 초식 공룡의 알은 공처럼 동그랗게 생겼고 불규칙 하게 놓여 있습니다. 
오비랍토르는 주로 알 둥지 근처에서 발견되어서 알도둑이라는 뜻의 이름을 가지게 되었어요. 하지만 새처럼 알을 품고있는 모습의 화석이 발견되어 알을 낳고 품는 공룡으로 확인되어 오해를 풀게 되었답니다.","Dinosaurs laid eggs, too! The shape of the eggs and nests depended on whether the dinosaur ate meat or plants. Meat-eating dinosaurs laid long, oval eggs in a neat circle. Plant-eating dinosaurs laid round eggs like balls, scattered all around the nest.
Oviraptor got its name, meaning 'egg thief,' because its fossils were found near egg nests. But later, scientists found a fossil of it sitting on its own eggs like a bird! It wasn't a thief, just a caring parent!",(사진) 알을 품고 있는 모습의 화석,Fossil of a dinosaur sitting on eggs,,,,,
관찰-6,경북 의성군 공룡발자국 화석,실물전시,디스플레이,"경북 의성군 공룡발자국 화석
Dinosaur Footprint Fossils in Uiseong-gun, Gyeongbuk","경북 의성군 공룡발자국 화석(천연 기념물 제 373호)
수평으로 쌓인 이 지층은 해안가에 노출된 경남 고성군 하이면 덕명리 백악기 퇴적암입니다.","Dinosaur Footprint Fossils in Uiseong-gun, Gyeongbuk (Natural Monument No. 373). This flat layer of rock is from the Cretaceous period!","다이노터널 기준 좌측 3개, 우측 2개 (총 5개)
올라가면 안돼요!","3 on the left, 2 on the right of the Dino Tunnel (5 in total)
Please don't climb!",,,,,
관찰-7,암모나이,실물전시,디스플레이,"암모나이트
Ammonite",암모나이트 Ammonite,,,,,설명 패널 추가 필요,,,
관찰-8,은행 Gingko,실물전시,디스플레이,"은행
Gingko",고생대에 출현한 식물로 오늘날까지 살고 있는 '살아있는 화석'이라고 할 수 있어요.,It appeared a long time ago and is called a 'living fossil' because it still lives today!,올라가면 안돼요!,Please don't climb!,,,,,
관찰-10,어류 Fish,실물전시,디스플레이,"어류
Fish","백악기 얕은 바다에는 어류, 두족류(오징어, 벨렘나이트 등) 같은 생물이 번성하고 물고기 종류도 매우 다양해졌어요.","In the shallow seas of the Cretaceous period, creatures like squids thrived, and there were so many different kinds of fish!",,,,,,,
관찰-11,메타세과이어 Metasequoia,실물전시,디스플레이,메타세과이어 Metasequoia,약 1억년 전 백악기 지층에서도 화석으로 발견 되지요. 현재까지 살고 있는 겉씨식물의 한 종류로 '살아있는 화석'의 일종이랍니다.,"Its fossils are found in 100-million-year-old rocks! It's a plant that still lives today, making it a true 'living fossil.",올라가면 전시물이 망가져요.,Please don't climb! The exhibit might break.,,,,,
