category,question,answer
주차_불가,주차장이 있나요?,"국립어린이과학관은 주차장이 없어요. 방문 시 대중교통 이용을 권장해요."
교통_버스_창경궁,창경궁이나 서울대학교 병원에서 내리는 버스는 무엇인가요?,"간선(파랑)버스 102, 149, 104, 107, 140, 143, 150, 151, 710, 171, 172, 272, 301, 162, 160번이 있어요."
교통_버스_창경궁만,창경궁에서만 내리는 버스는 무엇인가요?,"간선(파랑)버스 151, 171, 172, 272, 601번이 있어요."
교통_버스_명륜,명륜3가나 성대입구에서 내리는 버스는 무엇인가요?,"간선(파랑)버스 102, 149, 104, 107, 140, 143, 150, 151, 710, 171, 172, 272, 301, 162, 160번이 있어요."
교통_지하철,지하철로 어떻게 가나요?,"4호선 혜화역 4번 출구에서 창경궁 방향으로 도보 약 7분 거리예요."
어린이동반없음_제한,어린이 없이 성인만 입장할 수 있나요?,"어린이들의 안전한 관람을 위하여 어린이(신체연령 초등학생 이하)를 동반하지 않은 성인 및 청소년, 보호자를 동반하지 않은 9세 이하 어린이의 입장을 제한하고 있어요."
어린이동반없음_방문신청,어린이 없이 방문하고 싶은데 어떻게 하나요?,"어린이를 동반하지 않은 성인 및 청소년이 방문을 원하시는 경우 반드시 방문 전 협의를 하셔야 해요. 방문 신청서를 작성하여 방문 희망일 3일 전까지 공문 또는 이메일(proxima11@korea.kr)로 접수 후 방문해주세요."
어린이동반없음_신분증,어린이 없이 방문할 때 무엇을 지참해야 하나요?,"학생증, 명함, 사원증 등 방문 목적을 증명할 수 있는 신분증을 지참하여 방문해주세요."
사전답사,유치원이나 초등학교 단체관람 사전답사는 어떻게 하나요?,"유치원, 초등학교 단체관람을 위한 사전답사의 경우, 별도의 방문신청서 제출 없이 평일 오후 3시 이후 교원증(또는 재직증명서, 기타 재직 확인이 가능한 서류 등)과 신분증을 지참하여 방문하시면 돼요."
문의_전화,어린이 동반 없는 관람객 입장 문의는 어디로 하나요?,"전화 02-3668-3350(평일 10:00-15:00)으로 문의해주세요. 사전답사 문의는 해당하지 않아요."
문의_이메일,이메일 문의는 어디로 하나요?,proxima11@korea.kr로 문의해주세요.
