"2F (탐구놀이터/Exploration Zone) 도구, 에너지, 기계!",,,,,,,,,,,
ID,분류,전시형태,작동방식,제목,내용,세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
탐구-1," 도구
Simple machine",도입부 패널,텍스트," 도구
Simple machine","도구 Simple machine
도구는 우리가 일을 더 쉽게 할 수 있도록 도와주는 물건이에요. 여러 가지 도구 중, 작은 힘으로도 무거운 물체를 움직일 수 있게 하는 도구를 '단순 기계'라고 해요. 다양한 도구를 체험해 보며 힘의 차이를 느껴보아요.","사람들은 아주 오래전부터 힘든 일을 쉽게 할 방법을 찾았어요.
약 250만 년 전 돌, 나무, 동물 뼈 등을 이용해 간단한 도구를 만들기 시작했어요.
시간이 지나 단단한 금속을 발견하면서 더 튼튼하고 오래가는 도구를 만들 수 있게 되었답니다.",,정상,없음,,
탐구-2,,체험,핸즈온,"도르래
Pulley","바퀴에 줄을 걸어 무거운 물건을 쉽게 들어올리게 하는 도구예요. 힘을 쓰는 방향을 바꾸거나, 힘을 적게 쓰게 해요.
고정도르래, 움직도르래
과일상자가 더 가볍게 느껴지는 도르래는 무엇인가요?",,줄을 살살 놓아주세요.,,,,
탐구-3,,체험,핸즈온,"빗면
Slope",비스듬히 기울어진 면으로 무거운 물건을 밀거나 당겨서 더 쉽게 옮길 수 있게 하는 도구예요. 기울어진 각도가 작을수록 힘은 덜 들지만 더 많이 움직여야 해요.,상자를 들어보세요!,,,,,
탐구-4,,체험,패널,"쐐기
Wedge","쇠나 나무를 비스듬하게 깎아 만든 도구예요. 쐐기를 물건의 틈에 넣고 힘을 주면, 물건을 쉽게 들어 올리거나 쪼갤 수 있어요.",,,,,,
,,,핸즈온,,"쐐기와 나사
빗면의 원리를 활용한 쐐기와 나사가 우리 생활에서 어떻게 사용되는지 체험해 보세요",체험한 도구는 다음 친구를 위해 정리해주세요.,,,,,
,,,핸즈온,,칼 속에는 쐐기의 원리가 숨어 있어요. 칼날 각도가 다른 두개의 칼로 과일 모형을 잘라보며 힘의 세기를 비교해 보아요. 힘이 적게 들었던 칼은 어떤 칼인가요?,,,,,,
,,,패널,"나사
Screw", 빗면이 소용돌이처럼 감겨 있는 모양의 도구예요. 수많은 나사의 홈 덕분에 작은 힘으로도 ,,,,,,
,,,핸즈온,,병뚜껑 속에 나사의 원리가 숨어있어요.. 모양이 다른 세 개의 병뚜껑을 돌려 보면서 어떤 병이 더 쉽게 열리는지 비교해 보아요. 가장 쉽게 열린 병의 나사산 모양은 어땠나요?,,뚜껑은 세게 잡아당기지 마세요.,,,,
탐구-5,에너지와 기계 도입부,패널,텍스트,"에너지와 기계
시작과 발전","인류는 불을 발견하면서 처음으로 에너지를 사용하게 되었어요.
시간이 지나면서 사람들은 물, 바람 같은 자연의 힘을 이용해 다양한 일을 했어요.
작고 간단한 도구를 합치고 새로운 에너지를 이용하여 크고 복잡한 기계들을 만들어냈어요.
다양한 기계 덕분에 우리는 편리하게 살아가고 있어요.",,,,,,
,,패널,텍스트,에너지와 기계,"에너지 Energy
에너지란 물체가 일을 할 수 있는 능력을 말해요.
에너지는 여러 가지 모습으로 존재하고, 서로 다른 에너지로 바뀔 수도 있어요. 체험을 통해 에너지의 변화를 확인해 보아요.

기계 Machines
기계는 사람을 대신하여 일을 더 쉽고 빠르게 해주는 물건을 말해요.
다양한 기계 중, 우리가 잘 아는 자동차와 프로펠러를 이용하는 기계에 대해 알아보고 체험해 보아요.",,,,,,
탐구-6,"에너지 숲
Energy Forest",패널,텍스트,"에너지 하베스팅 트리
Energy Harvesting Tree","에너지 하베스팅이란 우리 주변에서 쓸모없이 버려지는 에너지를 모아 전기로 바꾸는 기술을 말해요. 우리가 걷거나 뛰면서 생기는 신체 에너지를 이용해 전기를 만들 수 있어요. 몸을 움직여 에너지 나무를 반짝 반짝 빛내주세요.
천천히 돌려주세요
손을 넣지 말아주세요. 안전이 최우선입니다.",발판을 밟을수록 나무가 밝아져요,,,,,
,,패널,텍스트,에너지숲 캡션,"작품명 | 에너지 숲 2017 작가 | 김동원 Kim, Dongone
이 전시물은 나무, 바람, 물 등 숲을 구성하는 요소들을 소재로
6종류의 공을 이용하여 다양한 형태의 ""에너지 보존의 법칙""을 표현하고자 하였습니다.
손으로 핸들을 돌려 기계를 움직이게 하는 체험을 통해 인간과 기계의 소통을 추구하였고, 공의 위치에너지가 운동에너지로 전환되는 과정을 볼 수 있도록 하였습니다.",,,,,,
탐구-7,에너지 Energy,패널,텍스트,"열에너지
Thermal energy","열에너지는 물체를 따뜻하게 만드는 에너지를 말해요.
나무, 화석 연료를 태우면 나오는 열에너지를 이용해 물체를 움직이거나, 다른 에너지로 바꿀 수 있어요.
아래 버튼을 눌러 열에너지가 만들어낸 세상의 변화를 확인해 보세요.
버튼: 열팽창, 증기기관, 발전소, 자동차, 비행기, 로켓",아크릴 안에 손을 넣지 말아주세요.,,,,,
탐구-8,,체험,"작동형
(자석퍼즐)","에너지 퀴즈
Energy Quiz","에너지는 우리 삶의 모든 곳에 존재합니다.
퀴즈를 통해 에너지에 대해 알아보고, 지속 가능한 미래를 위한 아이디어를 함께 나눠보아요.

질문에 맞는 답을 찾아 붙여주세요.","Q1. 우리가 사용하는 에너지! 주로 무엇으로 만들까요?
> 화석연료를 태워 만들어요
Q2. 화석연료를 태우면 어떤 에너지를 얻을 수 있나요?
> 열에너지, 전기에너지
Q3. 화석 연료를 태울 때, 가장 많이 나오는 물질은 무엇일까요?
>이산화탄소
Q4. 화석 연료를 태우면 생기는 문제점은 무엇일까요?
> 기후변화를 일으켜요, 환경오염을 일으켜요
Q5. 화석 연료를 대신할 수 있는 새로운 에너지들은 무엇이 있을까요?
> 버려진 에너지를 다시 모으는 에너지 하베스팅, 자연에서 얻을 수 있고 계속해서 다시 생겨나는 재생에너지, 새로운 에너지를 만드는 신에너지
Q6. 우리가 할 수 있는 에너지 절약! 무엇이 있을까요?
> 사용하지 않는 기계의 코드를 뽑아요, 집 온도를 일정하게 유지해요, 쓰레기는 분리배출을 해요.",,,,,
탐구-9,,패널,텍스트,"파스칼의 원리
Pascal's Principle","파스칼의 원리 Pascal's Principle
When you press on one side of a container filled with water or air, the force spreads evenly throughout the inside of the container.
This is called Pascal's principle.
Using this principle, you can lift a heavy object with a small amount of force.",,,,"국문
부재",,
,,체험,"작동형
(유압체험)",체험방법,"첫 번째! 조심조심 ~ 앉아봅시다
빨간불 일때 체험 가능 상태!
-> 준비하고 의자에 앉아봅시다.
Red light: ready to sit down for experience

두 번째!
초록불 일때 무게 감지 상태!
-> 파스칼의 원리를 체험 해봅시다.
Green light: working on exhibition

마지막! 조심조심 ~ 내려오세요
노란불 일때 재정비 상태!
-> 체험이 끝나고 내려오면 유압프레스가 다시 원위치로 돌아가요.
Yellow light: working back to position","발이 끼지 않게 조심하세요!
기대거나 앉지 마세요

어른이 두 명이상 앉지 마세요. 손잡이를 꼭 잡아요.
어린이만 앉아주세요. 손잡이를 꼭 잡아요.

가벼운 사람은 작은 의자에, 무거운 사람은 큰 의자에 앉아 주세요.
Please lighter people sit on the small chair, and heavier people sit on the large chair.",,자동 방식으로 변경됨 수시 점검,,,
탐구-10,,패널,텍스트,"부력
Buoyancy","부력 Buoyancy
공기나 물속에 있는 물체를 위로 떠오르게 하는 힘을 말해요.
무거운 배가 물에 뜨는 이유도 부력 때문이에요.
공기 펌프를 눌러 문어가 어떻게 움직이는지 관찰하세요.
공기 펌프를 꾹 눌러보아요!","문어는 왜 내려갔다 올라갔다 할까요?
공기 펌프를 눌렀을 때
공기: 공간이 줄어들었어.
물이 안으로 들어가요.
부력이 약해져서 가라낝아요.

공기 펌프를 놓았을 때
공기: 물이 나가니까 공간이 늘어났어.
부력이 커져서 올라가요.",,ㄱ' 스티커 떨어짐,,,
,,체험,작동형,체험방법,"체험 꿀팁!
1. 공기펌프를 꾹 누른다
Press the aur pump 
2. 손을 떼지 않고 3초 기다린다
Keep your hand on it and wait for 3 seconds
3. 문어가 내려가는 것을 관찰한다. 
Observe the octopus going down",,,,,,
탐구-11,기계 Machine,패널,텍스트,"자동차
Automobile","자동차
Automobile
자동차는 사람과 물건을 옮기기 위해 기계의 힘으로 바퀴를 굴려 땅 위를 움직일 수 있도록 만든 운송수단을 말해요.
자동차는 여러 부품으로 이루어져 있으며 각 부분이 함께 연결되어 움직인답니다.
비어 있는 부품들을 맞춰보며 자동차의 구조를 살펴보아요.",,,,,,
탐구-12,,쇼케이스 패널,텍스트,"브레이크
Break","브레이크 Break
달리고 있는 자동차의 속도를 줄이거나 멈추게 하려면 브레이크 페달을 밟아요.
페달과 연결된 관 속의 오일을 통해 전해진 강한 힘으로 브레이크 슈가 바퀴를 꽉 잡아 자동차를 멈추게 해요.",,,,,,
,,체험,작동형,체험방법,"1. 시작 버튼 누르기
2. 페달을 밟아주세요.",,,,,,
탐구-13,,쇼케이스 패널,텍스트,"변속기
Transmission","변속기
Transmission
변속기는 다양한 크기의 톱니바퀴들로 이루어져 있어요.
위, 아래 크기가 다른 두 개의 톱니바퀴가 서로 연결되어 돌아가며 자동차를 빠르게 또는 천천히 달릴 수 있게 해요.",자동차가 빠르게 달리고 있을 때 바퀴와 연결된 톱니바퀴의 크기는 클까요? 작을까요? 서로 맞물리는 톱니바퀴의 크기에 따라 속도가 달라져요.,,,,,
,,체험,작동형,체험방법,"물려있는 도그 클러치와 기어의 크기와 바퀴의 속도 차이를 확인하세요!
시작버튼, 저속버튼, 고속버튼",,,,,,
탐구-14,,쇼케이스 패널,텍스트,"클러치
Clutch","클러치 Clutch
자동차는 엔진의 힘으로 움직여요.
엔진의 힘을 바퀴로 보낼 수 있게 이어주는 기계를 클러치라고 해요.
자동차가 출발하거나 멈출 때, 속도를 바꿀 때는 페달을 밟아서 엔진과 바퀴의 연결을 잠깐 끊어요.
이렇게 하면 자동차를 부드럽게 움직일 수 있어요.","엔진이란 휘발유, 경유 같은 연료를 태워 자동차가 움직일 수 있는 힘을 만들어 내는 기계를 말해요.",,,,,
,,체험,작동형,체험방법,"1. 시작 버튼 누르기
2. 페달을 밟아주세요.",,,,,,
